"channel_id","videos_n","politics_n","hateful_n","misinfo_n","neutral_n","conservative_n","moderate_n","liberal_n","videos_log","politics_log","hateful_log","misinfo_log","neutral_log","conservative_log","moderate_log","liberal_log","politics_prop","hateful_prop","misinfo_prop","neutral_prop","conservative_prop","moderate_prop","liberal_prop","vidtopic_intl_affairs","vidtopic_gov_operations","vidtopic_civil_lib","vidtopic_dom_commerce","vidtopic_no_topic","vidtopic_law_crime","vidtopic_gun_control","vidtopic_defense","vidtopic_economy","vidtopic_technology","vidtopic_health","vidtopic_immigration","vidtopic_housing","vidtopic_transport","vidtopic_education","vidtopic_environment","vidtopic_energy","vidtopic_labor","vidtopic_public_lands","vidtopic_soc_welfare","vidtopic_foreign_trade","vidtopic_agric","vidtopic_intl_affairs_prop","vidtopic_gov_operations_prop","vidtopic_civil_lib_prop","vidtopic_dom_commerce_prop","vidtopic_no_topic_prop","vidtopic_law_crime_prop","vidtopic_gun_control_prop","vidtopic_defense_prop","vidtopic_economy_prop","vidtopic_technology_prop","vidtopic_health_prop","vidtopic_immigration_prop","vidtopic_housing_prop","vidtopic_transport_prop","vidtopic_education_prop","vidtopic_environment_prop","vidtopic_energy_prop","vidtopic_labor_prop","vidtopic_public_lands_prop","vidtopic_soc_welfare_prop","vidtopic_foreign_trade_prop","vidtopic_agric_prop","vidtopic_intl_affairs_log","vidtopic_gov_operations_log","vidtopic_civil_lib_log","vidtopic_dom_commerce_log","vidtopic_no_topic_log","vidtopic_law_crime_log","vidtopic_gun_control_log","vidtopic_defense_log","vidtopic_economy_log","vidtopic_technology_log","vidtopic_health_log","vidtopic_immigration_log","vidtopic_housing_log","vidtopic_transport_log","vidtopic_education_log","vidtopic_environment_log","vidtopic_energy_log","vidtopic_labor_log","vidtopic_public_lands_log","vidtopic_soc_welfare_log","vidtopic_foreign_trade_log","vidtopic_agric_log","channel_country","channel_view_count","channel_subscriber_count","channel_video_count","channel_society","channel_sociology","channel_knowledge","channel_politics","channel_religion","channel_entertainment","channel_film","channel_televisionprogram","channel_technology","channel_military","channel_vehicle","channel_hobby","channel_food","channel_tourism","channel_humour","channel_pet","channel_fashion","channel_business","channel_performingarts","channel_anygame","channel_anymusic","channel_anysports","channel_anyphysichealth","channel_ideostd","channel_elitetype","channel_ideocat","channel_susp","channel_view_count_log","channel_subscriber_count_log","channel_video_count_long","channel_days_creation","channel_days_creation_log"
"UC--Ys7QEmCo5OXYF2jhH4nQ",88,7,12,0,0,2,1,2,4.48863636973214,2.07944154167984,2.56494935746154,0,0,1.09861228866811,0.693147180559945,1.09861228866811,0.0795,0.1364,0,0,0.0227,0.0114,0.0227,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568,0,0,0,0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,"US",767190,18500,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.88426517438526,"Other","Liberal",0,13.5504910715128,9.8255800636596,4.26267987704132,5978,8.6960086088809
"UC-0LmMzjDI7CurtFFBUrvHQ",218,39,28,0,23,4,3,1,5.3890717298165,3.68887945411394,3.36729582998647,0,3.17805383034795,1.6094379124341,1.38629436111989,0.693147180559945,0.1789,0.1284,0,0.1055,0.0183,0.0138,0.0046,1,0,0,0,33,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,0,0.1514,0.0092,0,0.0138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,3.52636052461616,1.09861228866811,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"US",34561755,97800,819,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.396273292657037,"Other","Moderate",0,17.3582583107945,11.4906900809195,6.7093043402583,3078,8.0323601479245
"UC-2MJlKSq9_pYk5-bdvMhnw",1799,1218,7,0,660,6,14,368,7.49554194388426,7.10578612948127,2.07944154167984,0,6.49375383985169,1.94591014905531,2.70805020110221,5.91079664404053,0.677,0.0039,0,0.3669,0.0033,0.0078,0.2046,10,47,58,49,94,130,93,10,8,29,0,27,112,88,70,0,18,11,68,17,0,8,0.0056,0.0261,0.0322,0.0272,0.0523,0.0723,0.0517,0.0056,0.0044,0.0161,0,0.015,0.0623,0.0489,0.0389,0,0.01,0.0061,0.0378,0.0094,0,0.0044,2.39789527279837,3.87120101090789,4.07753744390572,3.91202300542815,4.55387689160054,4.87519732320115,4.54329478227,2.39789527279837,2.19722457733622,3.40119738166216,0,3.3322045101752,4.72738781871234,4.48863636973214,4.26267987704132,0,2.94443897916644,2.484906649788,4.23410650459726,2.89037175789616,0,2.19722457733622,"US",525367254,534000,76632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.495604159286159,"Other","Moderate",0,20.0796081093298,13.1881529905998,11.2467830723564,6515,8.78201596972194
"UC-2YHgc363EdcusLIBbgxzg",49,21,0,0,2,0,14,3,3.91202300542815,3.09104245335832,0,0,1.09861228866811,0,2.70805020110221,1.38629436111989,0.4286,0,0,0.0408,0,0.2857,0.0612,1,0,4,1,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0,0.0816,0.0204,0.0816,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,1.6094379124341,0.693147180559945,1.6094379124341,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,"US",320168818,1680000,820,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.643034961661298,"Other","Liberal",0,19.5843589740225,14.3343049466174,6.71052310945243,6598,8.79467340138342
"UC-2rr91vVvIpAFq--8r7XNA",51,35,2,0,0,1,21,10,3.95124371858143,3.58351893845611,1.09861228866811,0,0,0.693147180559945,3.09104245335832,2.39789527279837,0.6863,0.0392,0,0,0.0196,0.4118,0.1961,3,1,12,0,11,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0588,0.0196,0.2353,0,0.2157,0,0,0,0.0196,0.0196,0,0,0,0,0,0,0,0.0196,0,0,0,0.0196,1.38629436111989,0.693147180559945,2.56494935746154,0,2.484906649788,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,"US",1378214,20900,524,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.958624753127138,"Other","Liberal",0,14.1362997416074,9.94755228369823,6.26339826259162,3323,8.10892415597534
"UC-30BJyAAObw1irWxu6IPkw",140,65,2,0,38,3,4,4,4.94875989037817,4.18965474202643,1.09861228866811,0,3.66356164612965,1.38629436111989,1.6094379124341,1.6094379124341,0.4643,0.0143,0,0.2714,0.0214,0.0286,0.0286,32,10,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2286,0.0714,0.0143,0,0.1071,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49650756146648,2.39789527279837,1.09861228866811,0,2.77258872223978,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RU",253172712,709000,1982,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804598522782473,"Other","Liberal",0,19.3495824738644,13.4716122159505,7.5923661285198,3708,8.21851757748959
"UC-3Vp3Qy14wylC9WK8F1zUA",2209,1762,6,0,1455,0,7,93,7.7007477945118,7.47477218239787,1.94591014905531,0,7.28344822875663,0,2.07944154167984,4.54329478227,0.7976,0.0027,0,0.6587,0,0.0032,0.0421,25,116,21,51,375,267,142,30,41,32,0,3,42,110,69,0,26,31,20,26,2,7,0.0113,0.0525,0.0095,0.0231,0.1698,0.1209,0.0643,0.0136,0.0186,0.0145,0,0.0014,0.019,0.0498,0.0312,0,0.0118,0.014,0.0091,0.0118,0.0009,0.0032,3.25809653802148,4.76217393479776,3.09104245335832,3.95124371858143,5.92958914338989,5.59098698051086,4.96284463025991,3.43398720448515,3.73766961828337,3.49650756146648,0,1.38629436111989,3.76120011569356,4.70953020131233,4.24849524204936,0,3.29583686600433,3.46573590279973,3.04452243772342,3.29583686600433,1.09861228866811,2.07944154167984,"NULL",8404584,11600,32373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26608466404827,"Other","Liberal",0,15.944287948234,9.35884658027541,10.3851109104939,6270,8.74369111054302
"UC-3jIAlnQmbbVMV6gR7K8aQ",2013,1983,914,0,2,240,80,1445,7.60787807327851,7.59287028784482,6.81892406527552,0,1.09861228866811,5.48479693349065,4.39444915467244,7.27655640271871,0.9851,0.454,0,0.001,0.1192,0.0397,0.7178,303,670,372,50,26,29,7,31,49,41,0,40,16,7,16,0,12,66,1,10,3,1,0.1505,0.3328,0.1848,0.0248,0.0129,0.0144,0.0035,0.0154,0.0243,0.0204,0,0.0199,0.0079,0.0035,0.0079,0,0.006,0.0328,0.0005,0.005,0.0015,0.0005,5.71702770140622,6.50876913697168,5.92157841964382,3.93182563272433,3.29583686600433,3.40119738166216,2.07944154167984,3.46573590279973,3.91202300542815,3.73766961828337,0,3.71357206670431,2.83321334405622,2.07944154167984,2.83321334405622,0,2.56494935746154,4.20469261939097,0.693147180559945,2.39789527279837,1.38629436111989,0.693147180559945,"US",715201942,1300000,21951,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26334573884012,"Other","Liberal",0,20.3880754985425,14.0778755916622,9.99661353052561,5278,8.57149196482362
"UC-4h1XQ47sf0vbFwJvuBhEA",478,223,7,0,162,3,12,23,6.17170059741091,5.41164605185504,2.07944154167984,0,5.09375020080676,1.38629436111989,2.56494935746154,3.17805383034795,0.4665,0.0146,0,0.3389,0.0063,0.0251,0.0481,152,5,7,0,9,2,0,5,2,2,0,3,0,0,0,0,5,0,0,0,5,1,0.318,0.0105,0.0146,0,0.0188,0.0042,0,0.0105,0.0042,0.0042,0,0.0063,0,0,0,0,0.0105,0,0,0,0.0105,0.0021,5.03043792139244,1.79175946922805,2.07944154167984,0,2.30258509299405,1.09861228866811,0,1.79175946922805,1.09861228866811,1.09861228866811,0,1.38629436111989,0,0,0,0,1.79175946922805,0,0,0,1.79175946922805,0.693147180559945,"DE",35775807,348000,540,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.449862296929841,"Other","Moderate",0,17.3927824687562,12.7599606323157,6.29341927884648,6410,8.76577054398726
"UC-4zDbwRwcpxzQ0xN27aSmQ",19,0,2,0,0,0,0,0,2.99573227355399,0,1.09861228866811,0,0,0,0,0,0,0.1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"US",328271914,605000,533,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.360901725054098,"Other","Moderate",0,19.6093528320565,13.3129853899042,6.2803958389602,1549,7.34601020991329
